Basketball, spring, Georgia
Tennis, summer, Pennyslvania
Basketball, spring, Washingston
Volleyball, spring, California
Pool, winter, Alaska
Swimming, fall, Hawaii
Skiing, fall, Arizona
Beach, winter, Ohio
Park, summer, California
Haunted, spring, Mississippi
Food, summer, Kansas
Carnivals, winter, Florida
Cafes, summer, Washington D.C.
Amusement Park, summer, Idaho
Holiday, fall, Alaska
Romantic, spring, West Virginia
Zoos, summer, Maine
Hiking, spring, Texas
Monuments, spring, Utah
Muesems, spring, Nevada
Art Gallery, spring, Oklahoma
Ponds, fall, Alaska
Piers, spring, Alaska
Fishing, fall, Rhode Island
Shopping Mall, summer, Louisiana
Bowling, spring, New Mexico
Concert, spring, Tennessee
Feeding Animals, winter, Vermont
Apple Picking, winter, Iowa
Boxing, summer, Minnesota
